Province/State,Date,Deaths,population,Deaths per million residents
Washington,2020-03-10,23,7614893,3.0203970036085863
Washington,2020-03-11,29,7614893,3.80832665672387
Washington,2020-03-12,31,7614893,4.070969874428965
Washington,2020-03-13,37,7614893,4.8588995275442475
Washington,2020-03-14,37,7614893,4.8588995275442475
Washington,2020-03-15,40,7614893,5.25286435410189
Washington,2020-03-16,48,7614893,6.303437224922267
Washington,2020-03-17,55,7614893,7.222688486890098
Washington,2020-03-18,55,7614893,7.222688486890098
Washington,2020-03-19,74,7614893,9.717799055088495
Washington,2020-03-20,83,7614893,10.89969353476142
Washington,2020-03-21,94,7614893,12.34423123213944
Washington,2020-03-22,95,7614893,12.475552840991988
New York,2020-03-10,0,19453561,0
New York,2020-03-11,0,19453561,0
New York,2020-03-12,0,19453561,0
New York,2020-03-13,0,19453561,0
New York,2020-03-14,2,19453561,0.10280894073840774
New York,2020-03-15,3,19453561,0.1542134111076116
New York,2020-03-16,10,19453561,0.5140447036920387
New York,2020-03-17,13,19453561,0.6682581147996504
New York,2020-03-18,16,19453561,0.8224715259072619
New York,2020-03-19,34,19453561,1.7477519925529317
New York,2020-03-20,42,19453561,2.1589877555065624
New York,2020-03-21,60,19453561,3.0842682221522324
New York,2020-03-22,117,19453561,6.0143230331968525
California,2020-03-10,2,39512223,0.050617248237336585
California,2020-03-11,3,39512223,0.07592587235600487
California,2020-03-12,4,39512223,0.10123449647467317
California,2020-03-13,4,39512223,0.10123449647467317
California,2020-03-14,5,39512223,0.12654312059334147
California,2020-03-15,6,39512223,0.15185174471200974
California,2020-03-16,7,39512223,0.17716036883067804
California,2020-03-17,12,39512223,0.3037034894240195
California,2020-03-18,13,39512223,0.3290121135426878
California,2020-03-19,18,39512223,0.4555552341360293
California,2020-03-20,23,39512223,0.5820983547293707
California,2020-03-21,24,39512223,0.607406978848039
California,2020-03-22,30,39512223,0.7592587235600488
Massachusetts,2020-03-10,0,6892503,0
Massachusetts,2020-03-11,0,6892503,0
Massachusetts,2020-03-12,0,6892503,0
Massachusetts,2020-03-13,0,6892503,0
Massachusetts,2020-03-14,0,6892503,0
Massachusetts,2020-03-15,0,6892503,0
Massachusetts,2020-03-16,0,6892503,0
Massachusetts,2020-03-17,0,6892503,0
Massachusetts,2020-03-18,0,6892503,0
Massachusetts,2020-03-19,0,6892503,0
Massachusetts,2020-03-20,1,6892503,0.14508517442792554
Massachusetts,2020-03-21,1,6892503,0.14508517442792554
Massachusetts,2020-03-22,5,6892503,0.7254258721396276
