Province/State,Confirmed,Deaths,Recovered,Date,population,Confirmed per million residents,Deaths per million residents,Recoveries per million residents
Alaska,0,0,0,2020-03-10,731545,0,0,0
Arizona,6,0,1,2020-03-10,7278717,0.8243210994465096,0,0.1373868499077516
Arkansas,0,0,0,2020-03-10,3017804,0,0,0
California,144,2,2,2020-03-10,39512223,3.644441873088234,0.050617248237336585,0.050617248237336585
Colorado,15,0,0,2020-03-10,5758736,2.604738262007496,0,0
Connecticut,2,0,0,2020-03-10,3565287,0.5609646572632161,0,0
Delaware,0,0,0,2020-03-10,973764,0,0,0
District of Columbia,5,0,0,2020-03-10,705749,7.084671745903997,0,0
Florida,15,2,0,2020-03-10,21477737,0.6983976011997912,0.09311968015997216,0
Georgia,17,0,0,2020-03-10,10617423,1.6011418213251936,0,0
Hawaii,2,0,0,2020-03-10,1415872,1.4125570673055192,0,0
Idaho,0,0,0,2020-03-10,1787065,0,0,0
Illinois,12,0,2,2020-03-10,12671821,0.9469830737034559,0,0.15783051228390932
Indiana,6,0,0,2020-03-10,6732219,0.8912366041568166,0,0
Iowa,8,0,0,2020-03-10,3155070,2.5356014288114053,0,0
Kansas,1,0,0,2020-03-10,2913314,0.34325170578935194,0,0
Kentucky,6,0,0,2020-03-10,4467673,1.342981010472342,0,0
Louisiana,1,0,0,2020-03-10,4648794,0.21510955314432087,0,0
Maine,0,0,0,2020-03-10,1344212,0,0,0
Maryland,8,0,0,2020-03-10,6045680,1.323258922073282,0,0
Massachusetts,92,0,1,2020-03-10,6892503,13.34783604736915,0,0.14508517442792554
Michigan,0,0,0,2020-03-10,9986857,0,0,0
Minnesota,3,0,0,2020-03-10,5639632,0.5319496023854039,0,0
Mississippi,0,0,0,2020-03-10,2976149,0,0,0
Missouri,1,0,0,2020-03-10,6137428,0.16293470163723306,0,0
Montana,0,0,0,2020-03-10,1068778,0,0,0
Nebraska,3,0,0,2020-03-10,1934408,1.5508620725307174,0,0
Nevada,4,0,0,2020-03-10,3080156,1.2986355236552953,0,0
New Hampshire,4,0,0,2020-03-10,1359711,2.941801603428964,0,0
New Jersey,15,1,0,2020-03-10,8882190,1.6887727013270375,0.11258484675513585,0
New Mexico,0,0,0,2020-03-10,2096829,0,0,0
New York,173,0,0,2020-03-10,19453561,8.89297337387227,0,0
North Carolina,7,0,0,2020-03-10,10488084,0.6674240976712238,0,0
North Dakota,0,0,0,2020-03-10,762062,0,0,0
Ohio,3,0,0,2020-03-10,11689100,0.2566493570933605,0,0
Oklahoma,2,0,0,2020-03-10,3956971,0.505437113387993,0,0
Oregon,15,0,0,2020-03-10,4217737,3.5564095153396242,0,0
Pennsylvania,12,0,0,2020-03-10,12801989,0.9373543439226514,0,0
Rhode Island,3,0,0,2020-03-10,1059361,2.8318958315437324,0,0
South Carolina,7,0,0,2020-03-10,5148714,1.3595627956806302,0,0
South Dakota,0,0,0,2020-03-10,884659,0,0,0
Tennessee,7,0,0,2020-03-10,6829174,1.0250141525168344,0,0
Texas,13,0,0,2020-03-10,28995881,0.44833954174387736,0,0
Utah,2,0,0,2020-03-10,3205958,0.6238384907101091,0,0
Vermont,1,0,0,2020-03-10,623989,1.602592353390845,0,0
Virginia,7,0,0,2020-03-10,8535519,0.8201024448542613,0,0
Washington,267,23,1,2020-03-10,7614893,35.062869563630116,3.0203970036085863,0.13132160885254723
West Virginia,0,0,0,2020-03-10,1792147,0,0,0
Wisconsin,3,0,1,2020-03-10,5822434,0.5152484339023852,0,0.1717494779674617
Wyoming,0,0,0,2020-03-10,578759,0,0,0
Alaska,0,0,0,2020-03-11,731545,0,0,0
Arizona,9,0,1,2020-03-11,7278717,1.2364816491697643,0,0.1373868499077516
Arkansas,1,0,0,2020-03-11,3017804,0.3313667819381245,0,0
